timestamp,memory_used_mib,memory_free_mib,utilization_pct
1788888344.147081721,0, 22564, 0
1788888346.182564727,0, 22564, 0
1788888348.269894974,3, 22561, 0
1788888350.323129505,3, 22561, 0
1788888352.356165378,3, 22561, 0
1788888354.389006375,3, 22561, 0
1788888356.422756072,710, 21854, 0
1788888358.454437578,2022, 20542, 5
1788888360.486488919,5150, 17414, 37
1788888362.518365274,8932, 13632, 0
1788888364.553389009,8974, 13590, 64
1788888366.584588725,13452, 9112, 100
1788888368.621973387,13452, 9112, 32
1788888370.653896312,13454, 9110, 3
1788888372.695631595,13454, 9110, 36
1788888374.726901696,13456, 9108, 11
1788888376.757824376,17718, 4846, 13
1788888378.789130525,17718, 4846, 59
1788888380.821076790,19058, 3506, 11
1788888382.853944382,21740, 824, 0
1788888384.885548002,21740, 824, 29
1788888386.918204030,21740, 824, 35
1788888388.953324899,21740, 824, 37
1788888390.984591059,21740, 824, 40
1788888393.016211088,21740, 824, 18
1788888395.054602708,21740, 824, 35
1788888397.105346204,21740, 824, 31
1788888399.154793910,21740, 824, 100
1788888401.210564367,21740, 824, 42
1788888403.255343621,21740, 824, 12
1788888405.286669645,21740, 824, 0
1788888407.318566790,21740, 824, 57
1788888409.378105867,21740, 824, 5
1788888411.412987041,21740, 824, 16
1788888413.448628519,21740, 824, 13
1788888415.479245577,21740, 824, 0
1788888417.510612472,21740, 824, 0
1788888419.542631933,21740, 824, 0
1788888421.572966313,21740, 824, 6
1788888423.603836625,22266, 298, 100
1788888425.640794528,22268, 296, 30
1788888427.672580583,22268, 296, 100
1788888429.707784840,22268, 296, 45
1788888431.747477287,22270, 294, 0
1788888433.778813398,22270, 294, 100
1788888435.809577513,22270, 294, 24
1788888437.841743377,22270, 294, 55
1788888439.872480361,22272, 292, 0
1788888441.902837004,22272, 292, 18
1788888443.934103286,22272, 292, 0
1788888445.965171637,22272, 292, 15
1788888448.000937631,22272, 292, 0
1788888450.033394347,22272, 292, 19
1788888452.065675777,22272, 292, 0
1788888454.103686248,22272, 292, 100
1788888456.141479950,22272, 292, 31
1788888458.184145194,22272, 292, 100
1788888460.218114656,22272, 292, 63
1788888462.250563845,22272, 292, 11
1788888464.281686421,22272, 292, 100
1788888466.318074279,22272, 292, 43
1788888468.363999463,22272, 292, 33
1788888470.438620072,22272, 292, 0
1788888472.471459638,22272, 292, 15
1788888474.503122516,22272, 292, 99
1788888476.539709760,22276, 288, 18
1788888478.571778359,22276, 288, 57
1788888480.614178390,22276, 288, 61
1788888482.645557134,22302, 262, 52
1788888484.678791114,22334, 230, 19
1788888486.710314664,22334, 230, 0
1788888488.741888092,22334, 230, 1
1788888490.774434517,22334, 230, 4
1788888492.804989028,22334, 230, 21
1788888494.836534585,22334, 230, 71
1788888496.870557184,22334, 230, 0
1788888498.912237389,22334, 230, 14
1788888500.948426442,22334, 230, 19
1788888502.979903739,22334, 230, 0
1788888505.011067517,22346, 218, 37
1788888507.042639593,22346, 218, 100
1788888509.086193282,22346, 218, 20
1788888511.120321775,22346, 218, 13
1788888513.151580684,22346, 218, 64
1788888515.183681879,22346, 218, 51
1788888517.215583815,22346, 218, 21
1788888519.247707267,22346, 218, 0
1788888521.284530970,22346, 218, 22
1788888523.314982801,22346, 218, 15
1788888525.348943157,22346, 218, 12
1788888527.380266003,22346, 218, 61
1788888529.414892466,22346, 218, 54
1788888531.452827129,22346, 218, 7
1788888533.484138707,22378, 186, 50
1788888535.516383198,12962, 9602, 100
1788888537.552870670,13114, 9450, 0
1788888539.585125208,16834, 5730, 18
1788888541.616359199,16834, 5730, 11
1788888543.648520178,16834, 5730, 0
1788888545.684871603,16834, 5730, 45
1788888547.716539700,16834, 5730, 63
1788888549.753198322,16834, 5730, 0
1788888551.784078154,16834, 5730, 0
1788888553.814882575,16834, 5730, 29
1788888555.847901729,16834, 5730, 59
1788888557.884653554,16834, 5730, 47
1788888559.922488812,16834, 5730, 42
1788888561.957280496,16834, 5730, 99
1788888563.990155505,16834, 5730, 50
1788888566.022197234,16834, 5730, 19
1788888568.053237502,16834, 5730, 100
1788888570.093373197,16834, 5730, 100
1788888572.132754802,16834, 5730, 64
1788888574.170903053,20856, 1708, 100
1788888576.208748568,20856, 1708, 63
1788888578.241547349,20856, 1708, 80
1788888580.273556823,20856, 1708, 55
1788888582.306347155,20856, 1708, 45
1788888584.336803669,20856, 1708, 19
1788888586.368439371,20856, 1708, 100
1788888588.401265396,20856, 1708, 53
1788888590.434466246,20856, 1708, 28
1788888592.468339562,20856, 1708, 65
1788888594.500708368,20856, 1708, 29
1788888596.531813902,20856, 1708, 23
1788888598.564389084,20856, 1708, 59
1788888600.596177780,20856, 1708, 26
1788888602.632133374,20856, 1708, 29
1788888604.665120278,20856, 1708, 62
1788888606.698300099,20856, 1708, 56
1788888608.738303145,20856, 1708, 41
1788888610.771335911,20856, 1708, 60
1788888612.803691469,20856, 1708, 49
1788888614.846051654,20856, 1708, 23
1788888616.879044262,20856, 1708, 99
1788888618.919072161,20856, 1708, 100
1788888620.957399776,20856, 1708, 61
1788888622.990120307,20856, 1708, 28
1788888625.021446652,20856, 1708, 22
1788888627.061279841,20856, 1708, 0
1788888629.092690196,20856, 1708, 26
1788888631.127264189,15290, 7274, 17
1788888633.161027698,15292, 7272, 18
1788888635.194517279,15292, 7272, 35
1788888637.227235109,15292, 7272, 0
1788888639.258717273,15292, 7272, 6
1788888641.290782571,15294, 7270, 18
1788888643.322308365,9228, 13336, 31
1788888645.354688398,9228, 13336, 0
1788888647.387974734,9228, 13336, 18
1788888649.419637194,9228, 13336, 0
1788888651.450840792,9228, 13336, 18
1788888653.482219668,9228, 13336, 0
1788888655.514728125,9228, 13336, 18
1788888657.545888970,9228, 13336, 0
1788888659.577682921,9228, 13336, 13
1788888661.609456466,9228, 13336, 2
